City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hamilton,US,2021-12-21 17:10:44,broken clouds,39.1834,-84.5333,43.12,78,75,1.01
1,Luderitz,NA,2021-12-21 17:10:44,clear sky,-26.6481,15.1594,65.77,71,0,5.08
2,Arraial Do Cabo,BR,2021-12-21 17:10:44,clear sky,-22.9661,-42.0278,80.46,65,0,14.97
3,Rikitea,PF,2021-12-21 17:08:46,heavy intensity rain,-23.1203,-134.9692,72.9,90,100,12.03
4,Nikolskoye,RU,2021-12-21 17:08:49,overcast clouds,59.7035,30.7861,9.79,93,100,7.2
5,Awjilah,LY,2021-12-21 17:10:45,clear sky,29.1081,21.2869,57.18,40,0,4.81
6,Ashcroft,CA,2021-12-21 17:10:46,overcast clouds,50.7165,-121.2859,7.61,93,96,1.12
7,Warri,NG,2021-12-21 17:10:46,broken clouds,5.5167,5.75,92.79,25,55,1.19
8,Krasnokamensk,RU,2021-12-21 17:10:46,clear sky,50.0979,118.0369,-17.32,93,6,2.24
9,Dunedin,NZ,2021-12-21 17:10:47,clear sky,-45.8742,170.5036,53.8,90,10,1.01
10,New Norfolk,AU,2021-12-21 17:08:47,overcast clouds,-42.7826,147.0587,54.91,49,96,4.0
11,Busselton,AU,2021-12-21 17:08:48,few clouds,-33.65,115.3333,60.08,85,17,14.45
12,Ushuaia,AR,2021-12-21 17:08:54,scattered clouds,-54.8,-68.3,58.62,62,40,35.68
13,Cidreira,BR,2021-12-21 17:10:48,clear sky,-30.1811,-50.2056,79.25,66,4,10.4
14,Aklavik,CA,2021-12-21 17:10:48,light snow,68.2191,-135.0107,14.0,85,90,8.05
15,Tual,ID,2021-12-21 17:10:48,overcast clouds,-5.6667,132.75,82.6,79,100,10.36
16,Shingu,JP,2021-12-21 17:10:49,clear sky,33.7333,135.9833,47.46,85,7,5.66
17,Castro,BR,2021-12-21 17:10:07,clear sky,-24.7911,-50.0119,85.87,32,1,4.99
18,Mar Del Plata,AR,2021-12-21 17:08:50,overcast clouds,-38.0023,-57.5575,68.88,91,86,11.01
19,Bluff,NZ,2021-12-21 17:08:53,broken clouds,-46.6,168.3333,54.91,71,53,20.51
20,Cape Town,ZA,2021-12-21 17:10:01,clear sky,-33.9258,18.4232,76.87,69,4,5.01
21,Albany,US,2021-12-21 17:04:13,overcast clouds,42.6001,-73.9662,40.95,66,100,5.14
22,Hilo,US,2021-12-21 17:10:00,mist,19.7297,-155.09,69.28,49,90,6.91
23,Thompson,CA,2021-12-21 17:06:36,broken clouds,55.7435,-97.8558,-21.86,97,84,2.13
24,Jamestown,US,2021-12-21 17:06:10,overcast clouds,42.097,-79.2353,37.71,71,90,10.0
25,Ahipara,NZ,2021-12-21 17:10:50,overcast clouds,-35.1667,173.1667,60.96,87,86,3.42
26,Marica,BR,2021-12-21 17:06:09,few clouds,-22.9194,-42.8186,87.26,71,14,15.39
27,Fortuna,US,2021-12-21 17:10:51,moderate rain,40.5982,-124.1573,50.92,84,75,3.0
28,Akdepe,TM,2021-12-21 17:10:51,scattered clouds,42.0551,59.3788,46.4,67,44,10.89
29,Ponta Do Sol,PT,2021-12-21 17:10:51,overcast clouds,32.6667,-17.1,68.72,81,95,10.42
30,Quatre Cocos,MU,2021-12-21 17:10:52,light rain,-20.2078,57.7625,78.91,80,99,14.7
31,Vaini,TO,2021-12-21 17:08:53,light rain,-21.2,-175.2,78.96,94,75,6.91
32,Lompoc,US,2021-12-21 17:10:52,clear sky,34.6391,-120.4579,57.13,80,1,6.91
33,Saint-Philippe,RE,2021-12-21 17:10:53,light rain,-21.3585,55.7679,78.39,87,74,12.01
34,Cabo San Lucas,MX,2021-12-21 17:10:53,clear sky,22.8909,-109.9124,74.05,64,1,9.22
35,Mahebourg,MU,2021-12-21 17:08:50,light rain,-20.4081,57.7,79.09,78,75,12.66
36,Port Hardy,CA,2021-12-21 17:10:53,broken clouds,50.6996,-127.4199,31.75,64,74,6.46
37,Clyde River,CA,2021-12-21 17:10:54,overcast clouds,70.4692,-68.5914,2.23,74,100,5.41
38,Nouakchott,MR,2021-12-21 17:08:46,overcast clouds,18.0858,-15.9785,80.53,37,100,2.13
39,Provideniya,RU,2021-12-21 17:10:02,scattered clouds,64.3833,-173.3,3.49,79,43,7.65
40,Mungaoli,IN,2021-12-21 17:10:54,clear sky,24.4167,78.1,57.29,29,0,1.21
41,Port Alfred,ZA,2021-12-21 17:10:12,scattered clouds,-33.5906,26.891,72.25,87,38,24.7
42,Walvis Bay,NA,2021-12-21 17:10:55,clear sky,-22.9575,14.5053,68.09,69,2,10.58
43,Kavieng,PG,2021-12-21 17:10:55,light rain,-2.5744,150.7967,81.82,79,100,7.9
44,Barrow,US,2021-12-21 17:08:47,overcast clouds,71.2906,-156.7887,-5.78,77,90,14.97
45,Kapaa,US,2021-12-21 17:08:51,light rain,22.0752,-159.319,73.72,74,90,5.99
46,Dikson,RU,2021-12-21 17:08:46,overcast clouds,73.5069,80.5464,-25.56,94,96,16.71
47,Camocim,BR,2021-12-21 17:11:56,broken clouds,-2.9022,-40.8411,87.51,60,64,20.36
48,Vardo,NO,2021-12-21 17:08:56,broken clouds,70.3705,31.1107,24.55,74,75,16.11
49,Mataura,NZ,2021-12-21 17:08:50,clear sky,-46.1927,168.8643,55.24,61,6,6.85
50,Shache,CN,2021-12-21 17:11:56,clear sky,38.4167,77.2406,30.69,41,0,4.05
51,Blytheville,US,2021-12-21 17:11:41,clear sky,35.9273,-89.919,49.23,65,1,5.99
52,Souillac,MU,2021-12-21 17:11:57,broken clouds,-20.5167,57.5167,79.18,78,75,12.66
53,Carnarvon,AU,2021-12-21 17:11:06,scattered clouds,-24.8667,113.6333,71.67,83,29,19.57
54,Yairipok,IN,2021-12-21 17:11:57,scattered clouds,24.6667,94.0667,51.98,76,27,2.95
55,Coxim,BR,2021-12-21 17:11:58,overcast clouds,-18.5067,-54.76,85.17,66,100,1.19
56,Gusau,NG,2021-12-21 17:11:58,clear sky,12.1628,6.6614,80.01,20,1,10.56
57,Nanortalik,GL,2021-12-21 17:11:58,light rain,60.1432,-45.2371,41.29,77,100,26.04
58,Constantine,DZ,2021-12-21 17:08:16,few clouds,36.365,6.6147,52.7,48,23,1.19
59,Evensk,RU,2021-12-21 17:11:59,broken clouds,61.95,159.2333,-3.14,63,60,11.23
60,Avarua,CK,2021-12-21 17:11:59,light rain,-21.2078,-159.775,77.05,78,40,10.36
61,Leningradskiy,RU,2021-12-21 17:10:04,broken clouds,69.3833,178.4167,0.46,70,84,30.87
62,Xuddur,SO,2021-12-21 17:12:00,broken clouds,4.1213,43.8894,85.41,38,83,10.94
63,Bagdarin,RU,2021-12-21 17:12:00,scattered clouds,54.4333,113.6,-26.27,93,37,3.02
