City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Arraial Do Cabo,BR,80.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
13,Cidreira,BR,79.25,clear sky,-30.1811,-50.2056,Hotel Castelo
15,Tual,ID,82.6,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
30,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
31,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
33,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Mahebourg,MU,79.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
38,Nouakchott,MR,80.53,overcast clouds,18.0858,-15.9785,HOTEL IMAN
43,Kavieng,PG,81.82,light rain,-2.5744,150.7967,Nusa Island Retreat
52,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
56,Gusau,NG,80.01,clear sky,12.1628,6.6614,GUEST INN
64,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
65,Lorengau,PG,81.12,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
68,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
79,Butaritari,KI,81.1,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
90,Faanui,PF,78.57,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
98,Kirakira,SB,79.59,overcast clouds,-10.4544,161.9205,SanBiz Lodge
104,Djibo,BF,83.23,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
105,Port Elizabeth,ZA,79.11,clear sky,-33.918,25.5701,39 On Nile Guest House
112,Caravelas,BR,78.8,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
118,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
123,Malindi,KE,81.19,overcast clouds,-3.2175,40.1191,African House Resort
125,Sao Raimundo Das Mangabeiras,BR,84.49,overcast clouds,-7.0219,-45.4811,Hotel Tropical
135,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
136,Bubaque,GW,82.4,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
139,Hithadhoo,MV,82.08,clear sky,-0.6,73.0833,Scoop Guest House
141,Labuan,MY,78.96,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
154,Abong Mbang,CM,81.34,broken clouds,3.9833,13.1833,Auberge Angle Sur
160,Pedernales,DO,82.22,clear sky,18.0384,-71.744,Hotel Costa Marina
161,Itanhem,BR,79.88,overcast clouds,-17.1664,-40.33,Hotel Resende
166,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
167,Sao Joao Da Barra,BR,80.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
169,Alofi,NU,79.36,overcast clouds,-19.0595,-169.9187,Taloa Heights
170,Grand Gaube,MU,79.2,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
173,Matadi,CD,83.88,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
174,Alice Springs,AU,80.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
182,Bengkulu,ID,78.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
187,Madimba,TZ,78.57,broken clouds,-10.4,40.3333,
192,Tres Arroyos,AR,84.76,broken clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
205,Belmonte,BR,79.3,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
206,Bulungu,CD,78.13,light rain,-4.55,18.6,
216,Atuona,PF,78.46,overcast clouds,-9.8,-139.0333,Villa Enata
218,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
